/media/ubuntu/D/GHF_pycode/Mapper_a_critic_c/0/train.py

Namespace(agent_type=0, agents=175, attend_heads=4, critic_hidden_dim=320, critic_model_dir='critic_weights', entropy_weight=0.01, exp=2, gamma=0.99, goal_range=6, interval=100, load=False, lr=0.0003, map='60_65_hard', map_dir='map', model_dir='weights', name=None, num_updates=4, obs=30, pi_lr=0.001, pol_hidden_dim=128, q_lr=0.0001, render=False, reward_scale=20.0, seed=123, sub_num_agent=15, tau=0.001, train=True)

Device: cuda:0

Environments loaded

Exp 2 | Agent 0 | Epi 31 | succ rate 0.23| avg reward -170.82| collision 0.92| extra 21.19| max reward -258.98| L 42.908 | eL 35.122 | aL 39.255 | cL 10000000.000
Exp 2 | Agent 0 | Epi 32 | succ rate 0.23| avg reward -180.91| collision 0.90| extra 23.43| max reward -0.79| L -108.258 | eL 368.713 | aL -189.961 | cL 10000000.000
Exp 2 | Agent 0 | Epi 33 | succ rate 0.27| avg reward -181.44| collision 0.95| extra 23.95| max reward -147.17| L -104.513 | eL 377.425 | aL -164.484 | cL 10000000.000
Exp 2 | Agent 0 | Epi 34 | succ rate 0.32| avg reward -157.52| collision 0.87| extra 22.17| max reward -30.93| L -85.982 | eL 368.745 | aL -110.676 | cL 10000000.000
Exp 2 | Agent 0 | Epi 35 | succ rate 0.29| avg reward -147.78| collision 0.89| extra 18.83| max reward 23.99| L -30.596 | eL 166.843 | aL -37.215 | cL 10000000.000
Exp 2 | Agent 0 | Epi 36 | succ rate 0.29| avg reward -171.54| collision 0.91| extra 23.95| max reward -73.93| L -115.195 | eL 368.697 | aL -206.037 | cL 10000000.000
Exp 2 | Agent 0 | Epi 37 | succ rate 0.23| avg reward -117.15| collision 0.91| extra 15.72| max reward -145.54| L -81.630 | eL 237.044 | aL -115.124 | cL 10000000.000
Exp 2 | Agent 0 | Epi 38 | succ rate 0.26| avg reward -171.28| collision 0.94| extra 21.70| max reward 29.48| L -93.106 | eL 359.919 | aL -215.729 | cL 10000000.000
Exp 2 | Agent 0 | Epi 39 | succ rate 0.27| avg reward -170.33| collision 0.93| extra 21.82| max reward -108.69| L -81.352 | eL 359.815 | aL -107.923 | cL 10000000.000
Exp 2 | Agent 0 | Epi 40 | succ rate 0.27| avg reward -168.97| collision 0.93| extra 22.52| max reward -218.54| L -93.372 | eL 351.171 | aL -141.034 | cL 10000000.000
Exp 2 | Agent 0 | Epi 41 | succ rate 0.29| avg reward -153.18| collision 0.93| extra 19.34| max reward -227.75| L -100.653 | eL 315.939 | aL -177.277 | cL 10000000.000
Exp 2 | Agent 0 | Epi 42 | succ rate 0.34| avg reward -160.47| collision 0.94| extra 20.39| max reward -208.06| L -93.690 | eL 368.779 | aL -153.805 | cL 10000000.000
Exp 2 | Agent 0 | Epi 43 | succ rate 0.27| avg reward -181.98| collision 0.91| extra 24.76| max reward -236.22| L -98.943 | eL 395.124 | aL -145.275 | cL 10000000.000
Exp 2 | Agent 0 | Epi 44 | succ rate 0.32| avg reward -195.95| collision 0.90| extra 23.87| max reward -7.66| L -84.514 | eL 447.756 | aL -111.587 | cL 10000000.000
Exp 2 | Agent 0 | Epi 45 | succ rate 0.34| avg reward -153.22| collision 0.90| extra 21.94| max reward -256.93| L -100.016 | eL 360.008 | aL -170.630 | cL 10000000.000
Exp 2 | Agent 0 | Epi 46 | succ rate 0.27| avg reward -152.85| collision 0.89| extra 18.12| max reward -235.17| L -92.847 | eL 324.763 | aL -136.599 | cL 10000000.000
Exp 2 | Agent 0 | Epi 47 | succ rate 0.32| avg reward -184.47| collision 0.94| extra 25.06| max reward -223.17| L 35.851 | eL 39.499 | aL 33.415 | cL 10000000.000
Exp 2 | Agent 0 | Epi 48 | succ rate 0.29| avg reward -159.81| collision 0.95| extra 23.12| max reward -220.33| L -66.905 | eL 184.365 | aL -97.326 | cL 10000000.000
Exp 2 | Agent 0 | Epi 49 | succ rate 0.29| avg reward -187.39| collision 0.93| extra 23.84| max reward -201.93| L 8.452 | eL 65.849 | aL 5.018 | cL 10000000.000
Exp 2 | Agent 0 | Epi 50 | succ rate 0.29| avg reward -195.72| collision 0.93| extra 22.84| max reward -95.27| L -92.304 | eL 403.879 | aL -133.687 | cL 10000000.000
Exp 2 | Agent 0 | Epi 51 | succ rate 0.29| avg reward -172.10| collision 0.89| extra 22.74| max reward -348.06| L -106.177 | eL 386.251 | aL -189.917 | cL 10000000.000
Exp 2 | Agent 0 | Epi 52 | succ rate 0.35| avg reward -155.34| collision 0.91| extra 20.55| max reward -50.25| L -96.338 | eL 368.721 | aL -136.660 | cL 10000000.000
Exp 2 | Agent 0 | Epi 53 | succ rate 0.25| avg reward -155.47| collision 0.93| extra 20.40| max reward -112.97| L -60.986 | eL 307.289 | aL -72.235 | cL 10000000.000
Exp 2 | Agent 0 | Epi 54 | succ rate 0.27| avg reward -173.74| collision 0.94| extra 22.92| max reward -207.19| L -92.312 | eL 351.114 | aL -135.446 | cL 10000000.000
Exp 2 | Agent 0 | Epi 55 | succ rate 0.31| avg reward -163.55| collision 0.92| extra 21.55| max reward 10.79| L -91.723 | eL 351.106 | aL -132.180 | cL 10000000.000
Exp 2 | Agent 0 | Epi 56 | succ rate 0.27| avg reward -194.67| collision 0.92| extra 24.77| max reward -192.36| L -86.132 | eL 386.344 | aL -119.396 | cL 10000000.000
Exp 2 | Agent 0 | Epi 57 | succ rate 0.25| avg reward -180.56| collision 0.93| extra 23.72| max reward -172.36| L -102.269 | eL 359.996 | aL -162.969 | cL 10000000.000
Exp 2 | Agent 0 | Epi 58 | succ rate 0.28| avg reward -186.47| collision 0.93| extra 23.57| max reward -22.97| L 21.612 | eL 94.376 | aL 20.213 | cL 10000000.000
Exp 2 | Agent 0 | Epi 59 | succ rate 0.30| avg reward -168.14| collision 0.92| extra 23.07| max reward 9.48| L -100.397 | eL 359.999 | aL -147.761 | cL 10000000.000
Exp 2 | Agent 0 | Epi 60 | succ rate 0.24| avg reward -102.95| collision 0.93| extra 14.91| max reward 7.18| L -83.356 | eL 210.743 | aL -120.824 | cL 10000000.000
Exp 2 | Agent 0 | Epi 61 | succ rate 0.26| avg reward -191.94| collision 0.95| extra 24.30| max reward -183.15| L -105.838 | eL 386.359 | aL -169.615 | cL 10000000.000
Exp 2 | Agent 0 | Epi 62 | succ rate 0.25| avg reward -203.64| collision 0.94| extra 24.46| max reward -107.33| L -89.551 | eL 412.701 | aL -123.752 | cL 10000000.000
Exp 2 | Agent 0 | Epi 63 | succ rate 0.23| avg reward -184.35| collision 0.93| extra 21.32| max reward -181.25| L -101.468 | eL 359.954 | aL -145.663 | cL 10000000.000
Exp 2 | Agent 0 | Epi 64 | succ rate 0.29| avg reward -172.12| collision 0.92| extra 23.19| max reward -241.68| L 72.686 | eL 10.976 | aL 64.398 | cL 10000000.000
Exp 2 | Agent 0 | Epi 65 | succ rate 0.31| avg reward -168.63| collision 0.94| extra 22.48| max reward 25.87| L -104.014 | eL 359.973 | aL -225.047 | cL 10000000.000
Exp 2 | Agent 0 | Epi 66 | succ rate 0.23| avg reward -179.10| collision 0.94| extra 21.97| max reward -262.97| L -107.173 | eL 342.480 | aL -186.848 | cL 10000000.000
Exp 2 | Agent 0 | Epi 67 | succ rate 0.27| avg reward -139.95| collision 0.91| extra 18.96| max reward -190.57| L 14.670 | eL 85.621 | aL 11.731 | cL 10000000.000
Exp 2 | Agent 0 | Epi 68 | succ rate 0.26| avg reward -174.04| collision 0.92| extra 21.83| max reward -206.34| L -91.955 | eL 342.424 | aL -157.671 | cL 10000000.000
Exp 2 | Agent 0 | Epi 69 | succ rate 0.27| avg reward -175.75| collision 0.92| extra 23.73| max reward 15.23| L -70.808 | eL 368.839 | aL -85.106 | cL 10000000.000
Exp 2 | Agent 0 | Epi 70 | succ rate 0.30| avg reward -159.36| collision 0.93| extra 20.27| max reward -189.79| L -95.885 | eL 342.458 | aL -134.654 | cL 10000000.000
Exp 2 | Agent 0 | Epi 71 | succ rate 0.37| avg reward -178.68| collision 0.93| extra 21.90| max reward -44.33| L -98.322 | eL 386.390 | aL -221.436 | cL 10000000.000
Exp 2 | Agent 0 | Epi 72 | succ rate 0.28| avg reward -166.12| collision 0.92| extra 22.57| max reward -172.83| L -81.726 | eL 342.413 | aL -108.786 | cL 10000000.000
Exp 2 | Agent 0 | Epi 73 | succ rate 0.24| avg reward -160.39| collision 0.93| extra 19.19| max reward -55.62| L 38.199 | eL 63.655 | aL 35.738 | cL 10000000.000
Exp 2 | Agent 0 | Epi 74 | succ rate 0.25| avg reward -186.43| collision 0.93| extra 23.08| max reward -236.93| L -67.942 | eL 377.500 | aL -302.410 | cL 10000000.000
Exp 2 | Agent 0 | Epi 75 | succ rate 0.27| avg reward -201.62| collision 0.93| extra 25.90| max reward -216.61| L -104.287 | eL 412.658 | aL -160.894 | cL 10000000.000
Exp 2 | Agent 0 | Epi 76 | succ rate 0.31| avg reward -177.82| collision 0.91| extra 22.86| max reward -104.75| L -98.168 | eL 386.306 | aL -162.055 | cL 10000000.000
Exp 2 | Agent 0 | Epi 77 | succ rate 0.27| avg reward -146.39| collision 0.93| extra 17.98| max reward -194.17| L -79.294 | eL 298.483 | aL -103.447 | cL 10000000.000
Exp 2 | Agent 0 | Epi 78 | succ rate 0.26| avg reward -119.37| collision 0.89| extra 15.51| max reward -154.82| L -83.879 | eL 254.643 | aL -115.840 | cL 10000000.000
Exp 2 | Agent 0 | Epi 79 | succ rate 0.30| avg reward -176.53| collision 0.93| extra 24.24| max reward -283.89| L -97.005 | eL 377.506 | aL -174.619 | cL 10000000.000
Exp 2 | Agent 0 | Epi 80 | succ rate 0.28| avg reward -182.96| collision 0.94| extra 23.97| max reward -93.32| L -108.025 | eL 360.002 | aL -189.650 | cL 10000000.000
Exp 2 | Agent 0 | Epi 81 | succ rate 0.25| avg reward -187.62| collision 0.88| extra 22.62| max reward -246.68| L -85.491 | eL 368.756 | aL -113.965 | cL 10000000.000
Exp 2 | Agent 0 | Epi 82 | succ rate 0.37| avg reward -178.34| collision 0.91| extra 21.71| max reward -274.57| L -88.637 | eL 386.313 | aL -279.895 | cL 10000000.000
Exp 2 | Agent 0 | Epi 83 | succ rate 0.27| avg reward -191.10| collision 0.94| extra 26.80| max reward -7.72| L -102.292 | eL 377.479 | aL -159.857 | cL 10000000.000
Exp 2 | Agent 0 | Epi 84 | succ rate 0.25| avg reward -177.98| collision 0.89| extra 23.83| max reward -233.11| L -91.633 | eL 359.921 | aL -157.966 | cL 10000000.000
Exp 2 | Agent 0 | Epi 85 | succ rate 0.27| avg reward -191.14| collision 0.94| extra 26.57| max reward -233.76| L -105.399 | eL 395.061 | aL -169.242 | cL 10000000.000
Exp 2 | Agent 0 | Epi 86 | succ rate 0.29| avg reward -140.85| collision 0.87| extra 17.86| max reward -196.81| L -91.452 | eL 298.558 | aL -134.080 | cL 10000000.000
Exp 2 | Agent 0 | Epi 87 | succ rate 0.31| avg reward -180.89| collision 0.90| extra 22.36| max reward -160.87| L 50.418 | eL 54.884 | aL 46.096 | cL 10000000.000
Exp 2 | Agent 0 | Epi 88 | succ rate 0.23| avg reward -185.10| collision 0.97| extra 22.11| max reward -169.63| L -96.793 | eL 342.370 | aL -148.918 | cL 10000000.000
Exp 2 | Agent 0 | Epi 89 | succ rate 0.23| avg reward -181.34| collision 0.91| extra 23.86| max reward 29.97| L 7.229 | eL 81.228 | aL 4.265 | cL 10000000.000
Exp 2 | Agent 0 | Epi 90 | succ rate 0.25| avg reward -176.53| collision 0.96| extra 23.17| max reward -185.93| L -102.600 | eL 351.148 | aL -164.544 | cL 10000000.000
Exp 2 | Agent 0 | Epi 91 | succ rate 0.25| avg reward -167.23| collision 0.90| extra 22.24| max reward -390.53| L -75.493 | eL 351.214 | aL -101.695 | cL 10000000.000
Exp 2 | Agent 0 | Epi 92 | succ rate 0.31| avg reward -171.79| collision 0.91| extra 23.42| max reward -168.43| L -92.062 | eL 368.717 | aL -133.084 | cL 10000000.000
Exp 2 | Agent 0 | Epi 93 | succ rate 0.29| avg reward -181.71| collision 0.93| extra 22.63| max reward -373.39| L -105.804 | eL 377.486 | aL -161.970 | cL 10000000.000
Exp 2 | Agent 0 | Epi 94 | succ rate 0.26| avg reward -204.65| collision 0.91| extra 22.92| max reward -284.55| L -84.243 | eL 395.086 | aL -111.177 | cL 10000000.000
Exp 2 | Agent 0 | Epi 95 | succ rate 0.27| avg reward -160.30| collision 0.94| extra 19.20| max reward -157.23| L 44.161 | eL 307.319 | aL -422.838 | cL 10000000.000
Exp 2 | Agent 0 | Epi 96 | succ rate 0.22| avg reward -195.81| collision 0.94| extra 25.43| max reward -221.23| L -92.640 | eL 395.049 | aL -134.247 | cL 10000000.000
Exp 2 | Agent 0 | Epi 97 | succ rate 0.30| avg reward -170.82| collision 0.93| extra 22.27| max reward -272.99| L -93.963 | eL 351.118 | aL -133.843 | cL 10000000.000
Exp 2 | Agent 0 | Epi 98 | succ rate 0.34| avg reward -159.62| collision 0.91| extra 20.80| max reward -408.76| L -40.398 | eL 237.072 | aL -44.813 | cL 10000000.000
Exp 2 | Agent 0 | Epi 99 | succ rate 0.34| avg reward -170.59| collision 0.90| extra 22.29| max reward 0.05| L 49.949 | eL 57.076 | aL 45.903 | cL 10000000.000
Exp 2 | Agent 0 | Epi 100 | succ rate 0.33| avg reward -176.19| collision 0.95| extra 25.07| max reward -49.06| L -93.574 | eL 386.144 | aL -133.332 | cL 10000000.000
Exp 2 | Agent 0 | Epi 101 | succ rate 0.33| avg reward -166.38| collision 0.89| extra 22.80| max reward -133.45| L 17.538 | eL 37.304 | aL 16.092 | cL 10000000.000
Exp 2 | Agent 0 | Epi 102 | succ rate 0.27| avg reward -181.08| collision 0.93| extra 22.79| max reward 26.47| L -94.380 | eL 377.599 | aL -130.356 | cL 10000000.000
Exp 2 | Agent 0 | Epi 103 | succ rate 0.30| avg reward -139.95| collision 0.89| extra 18.14| max reward -170.82| L -79.002 | eL 307.178 | aL -107.062 | cL 10000000.000
Exp 2 | Agent 0 | Epi 104 | succ rate 0.28| avg reward -129.34| collision 0.94| extra 19.80| max reward -4.24| L -87.573 | eL 272.195 | aL -123.866 | cL 10000000.000
Exp 2 | Agent 0 | Epi 105 | succ rate 0.34| avg reward -135.64| collision 0.89| extra 18.89| max reward -15.13| L -98.205 | eL 316.012 | aL -187.027 | cL 10000000.000
Exp 2 | Agent 0 | Epi 106 | succ rate 0.34| avg reward -178.68| collision 0.91| extra 22.81| max reward 16.33| L -66.547 | eL 232.621 | aL -94.376 | cL 10000000.000
Exp 2 | Agent 0 | Epi 107 | succ rate 0.34| avg reward -173.31| collision 0.91| extra 22.90| max reward -14.62| L -95.875 | eL 394.947 | aL -194.585 | cL 10000000.000
Exp 2 | Agent 0 | Epi 108 | succ rate 0.27| avg reward -159.74| collision 0.91| extra 19.59| max reward -236.17| L -89.069 | eL 324.794 | aL -142.978 | cL 10000000.000
Exp 2 | Agent 0 | Epi 109 | succ rate 0.31| avg reward -153.47| collision 0.94| extra 18.92| max reward 19.65| L -98.354 | eL 342.439 | aL -170.103 | cL 10000000.000
Exp 2 | Agent 0 | Epi 110 | succ rate 0.26| avg reward -170.23| collision 0.94| extra 22.53| max reward -244.36| L -99.914 | eL 351.191 | aL -163.729 | cL 10000000.000
Exp 2 | Agent 0 | Epi 111 | succ rate 0.29| avg reward -183.99| collision 0.97| extra 24.67| max reward -257.80| L -88.190 | eL 386.391 | aL -133.872 | cL 10000000.000
Exp 2 | Agent 0 | Epi 112 | succ rate 0.24| avg reward -139.78| collision 0.93| extra 19.78| max reward -171.49| L -80.501 | eL 289.743 | aL -111.471 | cL 10000000.000
Exp 2 | Agent 0 | Epi 113 | succ rate 0.31| avg reward -179.94| collision 0.95| extra 21.89| max reward -148.49| L -96.655 | eL 368.662 | aL -174.142 | cL 10000000.000
Exp 2 | Agent 0 | Epi 114 | succ rate 0.31| avg reward -156.94| collision 0.89| extra 20.87| max reward -128.21| L -91.277 | eL 351.157 | aL -143.372 | cL 10000000.000
Exp 2 | Agent 0 | Epi 115 | succ rate 0.26| avg reward -137.63| collision 0.93| extra 19.14| max reward -156.58| L -93.639 | eL 298.541 | aL -148.678 | cL 10000000.000
Exp 2 | Agent 0 | Epi 116 | succ rate 0.31| avg reward -154.90| collision 0.90| extra 19.87| max reward -147.11| L 52.817 | eL 54.867 | aL 48.160 | cL 10000000.000
