/media/ubuntu/D/GHF_pycode/Mapper_a_critic_c/0/train.py

Namespace(agent_type=0, agents=175, attend_heads=2, critic_hidden_dim=1400, critic_model_dir='critic_weights', entropy_weight=0.01, exp=2, gamma=0.99, goal_range=6, interval=100, load=False, lr=0.0003, map='60_65_hard', map_dir='map', model_dir='weights', name=None, num_updates=4, obs=30, pi_lr=0.001, pol_hidden_dim=128, q_lr=0.0001, render=False, reward_scale=20.0, seed=123, sub_num_agent=15, tau=0.001, train=True)

Device: cuda:0

Environments loaded

Exp 2 | Agent 0 | Epi 0 | succ rate 0.32| avg reward -173.64| collision 0.94| extra 22.13| max reward -264.81| L -44.425 | eL 245.798 | aL -63.037 | cL 10000000.000
Exp 2 | Agent 0 | Epi 1 | succ rate 0.27| avg reward -184.24| collision 0.91| extra 21.85| max reward -182.80| L 28.367 | eL 41.706 | aL 25.494 | cL 10000000.000
Exp 2 | Agent 0 | Epi 2 | succ rate 0.31| avg reward -174.29| collision 0.93| extra 24.06| max reward -223.42| L -92.694 | eL 368.748 | aL -135.305 | cL 10000000.000
Exp 2 | Agent 0 | Epi 3 | succ rate 0.26| avg reward -184.94| collision 0.93| extra 23.60| max reward -176.62| L -107.056 | eL 377.510 | aL -175.293 | cL 10000000.000
Exp 2 | Agent 0 | Epi 4 | succ rate 0.26| avg reward -152.20| collision 0.92| extra 19.56| max reward -291.43| L -77.240 | eL 307.304 | aL -99.823 | cL 10000000.000
Exp 2 | Agent 0 | Epi 5 | succ rate 0.22| avg reward -193.74| collision 0.89| extra 23.62| max reward -184.90| L -107.768 | eL 377.514 | aL -193.278 | cL 10000000.000
Exp 2 | Agent 0 | Epi 6 | succ rate 0.23| avg reward -120.59| collision 0.91| extra 16.25| max reward -104.18| L -9.981 | eL 70.223 | aL -15.032 | cL 10000000.000
Exp 2 | Agent 0 | Epi 7 | succ rate 0.25| avg reward -150.71| collision 0.93| extra 21.63| max reward -219.19| L -63.955 | eL 324.826 | aL -77.713 | cL 10000000.000
Exp 2 | Agent 0 | Epi 8 | succ rate 0.29| avg reward -146.18| collision 0.90| extra 21.39| max reward -156.08| L -13.981 | eL 149.222 | aL -15.423 | cL 10000000.000
Exp 2 | Agent 0 | Epi 9 | succ rate 0.31| avg reward -170.42| collision 0.91| extra 22.66| max reward -51.96| L -101.389 | eL 377.490 | aL -164.687 | cL 10000000.000
Exp 2 | Agent 0 | Epi 10 | succ rate 0.33| avg reward -155.31| collision 0.91| extra 21.31| max reward -194.68| L -104.828 | eL 342.339 | aL -175.606 | cL 10000000.000
Exp 2 | Agent 0 | Epi 11 | succ rate 0.35| avg reward -176.81| collision 0.91| extra 24.05| max reward -310.37| L 21.691 | eL 87.789 | aL 19.689 | cL 10000000.000
Exp 2 | Agent 0 | Epi 12 | succ rate 0.33| avg reward -160.11| collision 0.91| extra 20.66| max reward -421.61| L -98.786 | eL 368.686 | aL -167.701 | cL 10000000.000
Exp 2 | Agent 0 | Epi 13 | succ rate 0.29| avg reward -178.80| collision 0.93| extra 24.13| max reward -272.34| L -104.282 | eL 386.249 | aL -183.807 | cL 10000000.000
Exp 2 | Agent 0 | Epi 14 | succ rate 0.29| avg reward -190.69| collision 0.94| extra 24.22| max reward 22.19| L -80.433 | eL 394.893 | aL -103.538 | cL 10000000.000
Exp 2 | Agent 0 | Epi 15 | succ rate 0.31| avg reward -131.63| collision 0.94| extra 18.02| max reward -142.95| L -105.627 | eL 289.650 | aL -185.951 | cL 10000000.000
Exp 2 | Agent 0 | Epi 16 | succ rate 0.25| avg reward -176.06| collision 0.93| extra 24.04| max reward -157.09| L -93.420 | eL 351.116 | aL -141.019 | cL 10000000.000
Exp 2 | Agent 0 | Epi 17 | succ rate 0.23| avg reward -186.09| collision 0.93| extra 21.79| max reward -189.33| L -39.801 | eL 129.480 | aL -52.279 | cL 10000000.000
Exp 2 | Agent 0 | Epi 18 | succ rate 0.26| avg reward -160.82| collision 0.94| extra 20.56| max reward -176.58| L -48.808 | eL 311.626 | aL -58.606 | cL 10000000.000
Exp 2 | Agent 0 | Epi 19 | succ rate 0.35| avg reward -154.18| collision 0.88| extra 20.12| max reward -161.75| L -57.851 | eL 210.663 | aL -75.947 | cL 10000000.000
Exp 2 | Agent 0 | Epi 20 | succ rate 0.27| avg reward -135.58| collision 0.93| extra 17.65| max reward -142.86| L 24.682 | eL 63.631 | aL 22.776 | cL 10000000.000
Exp 2 | Agent 0 | Epi 21 | succ rate 0.34| avg reward -175.36| collision 0.94| extra 24.50| max reward -204.64| L -98.211 | eL 394.941 | aL -173.042 | cL 10000000.000
Exp 2 | Agent 0 | Epi 22 | succ rate 0.35| avg reward -153.14| collision 0.91| extra 22.49| max reward -190.04| L -89.426 | eL 359.653 | aL -133.490 | cL 10000000.000
Exp 2 | Agent 0 | Epi 23 | succ rate 0.30| avg reward -173.46| collision 0.88| extra 23.88| max reward -221.59| L -98.081 | eL 377.404 | aL -139.236 | cL 10000000.000
Exp 2 | Agent 0 | Epi 24 | succ rate 0.33| avg reward -177.41| collision 0.92| extra 24.26| max reward -212.66| L -111.600 | eL 386.164 | aL -204.156 | cL 10000000.000
Exp 2 | Agent 0 | Epi 25 | succ rate 0.29| avg reward -180.88| collision 0.94| extra 22.26| max reward -188.51| L -103.195 | eL 386.185 | aL -205.563 | cL 10000000.000
Exp 2 | Agent 0 | Epi 26 | succ rate 0.33| avg reward -180.64| collision 0.92| extra 24.95| max reward -289.81| L 73.550 | eL 8.777 | aL 65.140 | cL 10000000.000
Exp 2 | Agent 0 | Epi 27 | succ rate 0.25| avg reward -198.90| collision 0.93| extra 25.55| max reward -207.38| L -92.968 | eL 394.950 | aL -124.450 | cL 10000000.000
Exp 2 | Agent 0 | Epi 28 | succ rate 0.30| avg reward -195.13| collision 0.96| extra 26.20| max reward -164.94| L -88.200 | eL 412.214 | aL -120.644 | cL 10000000.000
Exp 2 | Agent 0 | Epi 29 | succ rate 0.30| avg reward -146.46| collision 0.92| extra 19.67| max reward -194.57| L 13.744 | eL 59.246 | aL 12.204 | cL 10000000.000
Exp 2 | Agent 0 | Epi 30 | succ rate 0.29| avg reward -178.75| collision 0.91| extra 22.53| max reward -373.21| L -96.040 | eL 385.650 | aL -147.026 | cL 10000000.000
Exp 2 | Agent 0 | Epi 31 | succ rate 0.25| avg reward -198.23| collision 0.93| extra 25.81| max reward -390.95| L -95.426 | eL 394.919 | aL -235.251 | cL 10000000.000
Exp 2 | Agent 0 | Epi 32 | succ rate 0.34| avg reward -141.15| collision 0.88| extra 18.79| max reward -300.65| L -87.955 | eL 333.364 | aL -118.218 | cL 10000000.000
Exp 2 | Agent 0 | Epi 33 | succ rate 0.32| avg reward -159.71| collision 0.87| extra 23.38| max reward -157.03| L -97.913 | eL 368.646 | aL -204.960 | cL 10000000.000
Exp 2 | Agent 0 | Epi 34 | succ rate 0.30| avg reward -168.40| collision 0.91| extra 22.16| max reward -265.29| L -111.668 | eL 368.654 | aL -193.087 | cL 10000000.000
Exp 2 | Agent 0 | Epi 35 | succ rate 0.27| avg reward -148.21| collision 0.93| extra 21.07| max reward -49.66| L -77.803 | eL 306.781 | aL -95.941 | cL 10000000.000
Exp 2 | Agent 0 | Epi 36 | succ rate 0.26| avg reward -162.97| collision 0.93| extra 22.85| max reward 27.27| L -80.969 | eL 282.865 | aL -120.533 | cL 10000000.000
Exp 2 | Agent 0 | Epi 37 | succ rate 0.29| avg reward -129.32| collision 0.91| extra 18.06| max reward 29.99| L 58.736 | eL 24.138 | aL 52.919 | cL 10000000.000
Exp 2 | Agent 0 | Epi 38 | succ rate 0.31| avg reward -154.27| collision 0.95| extra 20.24| max reward -1.36| L -96.378 | eL 333.120 | aL -189.139 | cL 10000000.000
