/media/ubuntu/D/GHF_pycode/Mapper_a_critic_c/0/train.py

Namespace(agent_type=0, agents=175, attend_heads=2, critic_hidden_dim=1400, critic_model_dir='critic_weights', entropy_weight=0.01, exp=2, gamma=0.99, goal_range=6, interval=100, load=False, lr=0.0003, map='60_65_hard', map_dir='map', model_dir='weights', name=None, num_updates=4, obs=30, pi_lr=0.001, pol_hidden_dim=128, q_lr=0.0001, render=False, reward_scale=20.0, seed=123, sub_num_agent=15, tau=0.001, train=True)

Device: cuda:0

Environments loaded

Exp 2 | Agent 0 | Epi 0 | succ rate 0.32| avg reward -173.64| collision 0.94| extra 22.13| max reward -264.81| L -44.425 | eL 245.798 | aL -63.037 | cL 10000000.000
Exp 2 | Agent 0 | Epi 1 | succ rate 0.27| avg reward -184.24| collision 0.91| extra 21.85| max reward -182.80| L 28.367 | eL 41.706 | aL 25.494 | cL 10000000.000
Exp 2 | Agent 0 | Epi 2 | succ rate 0.31| avg reward -174.29| collision 0.93| extra 24.06| max reward -223.42| L -92.694 | eL 368.748 | aL -135.305 | cL 10000000.000
Exp 2 | Agent 0 | Epi 3 | succ rate 0.26| avg reward -184.94| collision 0.93| extra 23.60| max reward -176.62| L -107.056 | eL 377.510 | aL -175.293 | cL 10000000.000
Exp 2 | Agent 0 | Epi 4 | succ rate 0.26| avg reward -152.20| collision 0.92| extra 19.56| max reward -291.43| L -77.240 | eL 307.304 | aL -99.823 | cL 10000000.000
Exp 2 | Agent 0 | Epi 5 | succ rate 0.22| avg reward -193.74| collision 0.89| extra 23.62| max reward -184.90| L -107.768 | eL 377.514 | aL -193.278 | cL 10000000.000
Exp 2 | Agent 0 | Epi 6 | succ rate 0.23| avg reward -120.59| collision 0.91| extra 16.25| max reward -104.18| L -9.981 | eL 70.223 | aL -15.032 | cL 10000000.000
Exp 2 | Agent 0 | Epi 7 | succ rate 0.25| avg reward -150.71| collision 0.93| extra 21.63| max reward -219.19| L -63.955 | eL 324.826 | aL -77.713 | cL 10000000.000
Exp 2 | Agent 0 | Epi 8 | succ rate 0.30| avg reward -147.15| collision 0.90| extra 21.13| max reward -152.53| L -14.990 | eL 149.223 | aL -16.525 | cL 10000000.000
Exp 2 | Agent 0 | Epi 9 | succ rate 0.27| avg reward -190.81| collision 0.95| extra 24.34| max reward -294.47| L -89.020 | eL 377.517 | aL -116.051 | cL 10000000.000
Exp 2 | Agent 0 | Epi 10 | succ rate 0.24| avg reward -186.70| collision 0.92| extra 25.50| max reward -192.17| L -110.527 | eL 377.474 | aL -225.452 | cL 10000000.000
Exp 2 | Agent 0 | Epi 11 | succ rate 0.31| avg reward -164.74| collision 0.93| extra 24.12| max reward -216.68| L -72.918 | eL 368.585 | aL -92.083 | cL 10000000.000
Exp 2 | Agent 0 | Epi 12 | succ rate 0.35| avg reward -164.55| collision 0.89| extra 20.72| max reward -296.69| L -77.969 | eL 386.076 | aL -98.207 | cL 10000000.000
Exp 2 | Agent 0 | Epi 13 | succ rate 0.31| avg reward -160.92| collision 0.90| extra 20.50| max reward -277.43| L -84.523 | eL 342.160 | aL -119.355 | cL 10000000.000
Exp 2 | Agent 0 | Epi 14 | succ rate 0.32| avg reward -184.38| collision 0.94| extra 24.03| max reward -269.04| L -83.973 | eL 386.214 | aL -108.299 | cL 10000000.000
Exp 2 | Agent 0 | Epi 15 | succ rate 0.29| avg reward -147.14| collision 0.94| extra 21.55| max reward -153.39| L -64.959 | eL 315.937 | aL -79.552 | cL 10000000.000
Exp 2 | Agent 0 | Epi 16 | succ rate 0.33| avg reward -175.61| collision 0.92| extra 23.32| max reward -163.87| L -98.056 | eL 377.293 | aL -141.668 | cL 10000000.000
Exp 2 | Agent 0 | Epi 17 | succ rate 0.27| avg reward -183.53| collision 0.95| extra 23.87| max reward -194.35| L -61.863 | eL 309.367 | aL -97.504 | cL 10000000.000
Exp 2 | Agent 0 | Epi 18 | succ rate 0.26| avg reward -143.41| collision 0.94| extra 19.23| max reward -174.34| L -90.883 | eL 307.228 | aL -132.164 | cL 10000000.000
Exp 2 | Agent 0 | Epi 19 | succ rate 0.29| avg reward -183.90| collision 0.93| extra 22.49| max reward -272.49| L -79.852 | eL 386.118 | aL -127.298 | cL 10000000.000
Exp 2 | Agent 0 | Epi 20 | succ rate 0.25| avg reward -186.02| collision 0.93| extra 24.28| max reward -395.89| L -103.627 | eL 386.266 | aL -148.842 | cL 10000000.000
Exp 2 | Agent 0 | Epi 21 | succ rate 0.28| avg reward -180.12| collision 0.93| extra 24.51| max reward -345.25| L -101.823 | eL 386.095 | aL -257.759 | cL 10000000.000
Exp 2 | Agent 0 | Epi 22 | succ rate 0.35| avg reward -166.67| collision 0.91| extra 23.32| max reward -248.32| L -94.784 | eL 386.210 | aL -152.534 | cL 10000000.000
Exp 2 | Agent 0 | Epi 23 | succ rate 0.29| avg reward -182.27| collision 0.92| extra 23.60| max reward -236.19| L -38.093 | eL 226.018 | aL -44.601 | cL 10000000.000
Exp 2 | Agent 0 | Epi 24 | succ rate 0.33| avg reward -179.17| collision 0.93| extra 23.95| max reward -130.12| L 65.201 | eL 19.746 | aL 58.218 | cL 10000000.000
Exp 2 | Agent 0 | Epi 25 | succ rate 0.26| avg reward -191.28| collision 0.90| extra 21.57| max reward -272.34| L 21.255 | eL 28.492 | aL 19.234 | cL 10000000.000
Exp 2 | Agent 0 | Epi 26 | succ rate 0.26| avg reward -85.16| collision 0.85| extra 11.83| max reward -84.00| L -79.960 | eL 184.330 | aL -119.490 | cL 10000000.000
Exp 2 | Agent 0 | Epi 27 | succ rate 0.27| avg reward -190.06| collision 0.91| extra 24.46| max reward -193.64| L -72.878 | eL 394.989 | aL -93.678 | cL 10000000.000
Exp 2 | Agent 0 | Epi 28 | succ rate 0.25| avg reward -201.50| collision 0.93| extra 26.55| max reward -165.75| L -114.792 | eL 394.891 | aL -248.877 | cL 10000000.000
Exp 2 | Agent 0 | Epi 29 | succ rate 0.28| avg reward -169.62| collision 0.94| extra 24.60| max reward -217.12| L -94.058 | eL 359.718 | aL -202.881 | cL 10000000.000
Exp 2 | Agent 0 | Epi 30 | succ rate 0.27| avg reward -180.54| collision 0.91| extra 25.46| max reward -190.98| L -103.707 | eL 385.744 | aL -164.537 | cL 10000000.000
Exp 2 | Agent 0 | Epi 31 | succ rate 0.28| avg reward -182.54| collision 0.93| extra 24.24| max reward -240.42| L -96.317 | eL 394.502 | aL -144.241 | cL 10000000.000
Exp 2 | Agent 0 | Epi 32 | succ rate 0.26| avg reward -185.92| collision 0.94| extra 25.35| max reward -247.37| L -2.788 | eL 98.708 | aL -4.289 | cL 10000000.000
Exp 2 | Agent 0 | Epi 33 | succ rate 0.27| avg reward -170.34| collision 0.93| extra 22.63| max reward -235.36| L -85.661 | eL 359.558 | aL -119.395 | cL 10000000.000
Exp 2 | Agent 0 | Epi 34 | succ rate 0.30| avg reward -169.72| collision 0.93| extra 22.15| max reward 16.62| L -109.232 | eL 368.619 | aL -206.502 | cL 10000000.000
Exp 2 | Agent 0 | Epi 35 | succ rate 0.35| avg reward -165.87| collision 0.91| extra 20.48| max reward -251.96| L -64.311 | eL 160.069 | aL -131.008 | cL 10000000.000
Exp 2 | Agent 0 | Epi 36 | succ rate 0.25| avg reward -194.60| collision 0.92| extra 25.45| max reward -214.94| L -96.303 | eL 385.954 | aL -199.568 | cL 10000000.000
Exp 2 | Agent 0 | Epi 37 | succ rate 0.29| avg reward -164.64| collision 0.92| extra 24.04| max reward -387.64| L 0.533 | eL 98.688 | aL -2.603 | cL 10000000.000
Exp 2 | Agent 0 | Epi 38 | succ rate 0.29| avg reward -157.39| collision 0.94| extra 20.99| max reward -207.91| L -67.798 | eL 333.353 | aL -83.047 | cL 10000000.000
