/media/ubuntu/D/GHF_pycode/Mapper_a_critic_c/0/train.py

Namespace(agent_type=0, agents=175, attend_heads=2, critic_hidden_dim=160, critic_model_dir='critic_weights', entropy_weight=0.01, exp=2, gamma=0.99, goal_range=6, interval=100, load=False, lr=0.0003, map='60_65_hard', map_dir='map', model_dir='weights', name=None, num_updates=4, obs=30, pi_lr=0.001, pol_hidden_dim=128, q_lr=0.0001, render=False, reward_scale=20.0, seed=123, sub_num_agent=15, tau=0.001, train=True)

Device: cuda:0

Environments loaded

Exp 2 | Agent 0 | Epi 0 | succ rate 0.32| avg reward -173.64| collision 0.94| extra 22.13| max reward -264.81| L -44.386 | eL 245.798 | aL -62.984 | cL 10000000.000
Exp 2 | Agent 0 | Epi 1 | succ rate 0.27| avg reward -184.24| collision 0.91| extra 21.85| max reward -182.80| L 28.421 | eL 41.706 | aL 25.542 | cL 10000000.000
Exp 2 | Agent 0 | Epi 2 | succ rate 0.31| avg reward -174.29| collision 0.93| extra 24.06| max reward -223.42| L -92.664 | eL 368.748 | aL -135.241 | cL 10000000.000
Exp 2 | Agent 0 | Epi 3 | succ rate 0.26| avg reward -184.94| collision 0.93| extra 23.60| max reward -176.62| L -107.014 | eL 377.509 | aL -175.172 | cL 10000000.000
Exp 2 | Agent 0 | Epi 4 | succ rate 0.27| avg reward -149.81| collision 0.93| extra 19.39| max reward -289.48| L -77.259 | eL 307.304 | aL -99.846 | cL 10000000.000
Exp 2 | Agent 0 | Epi 5 | succ rate 0.25| avg reward -162.34| collision 0.94| extra 22.48| max reward -138.13| L -104.809 | eL 324.825 | aL -155.607 | cL 10000000.000
Exp 2 | Agent 0 | Epi 6 | succ rate 0.31| avg reward -169.43| collision 0.91| extra 21.48| max reward -269.48| L -92.219 | eL 368.758 | aL -157.414 | cL 10000000.000
Exp 2 | Agent 0 | Epi 7 | succ rate 0.31| avg reward -134.54| collision 0.90| extra 18.87| max reward 18.65| L -59.993 | eL 307.200 | aL -70.457 | cL 10000000.000
Exp 2 | Agent 0 | Epi 8 | succ rate 0.29| avg reward -158.61| collision 0.93| extra 21.19| max reward -153.52| L -95.379 | eL 342.323 | aL -152.584 | cL 10000000.000
Exp 2 | Agent 0 | Epi 9 | succ rate 0.29| avg reward -178.13| collision 0.97| extra 22.09| max reward -217.68| L -100.085 | eL 368.728 | aL -150.626 | cL 10000000.000
Exp 2 | Agent 0 | Epi 10 | succ rate 0.33| avg reward -175.03| collision 0.91| extra 22.62| max reward -211.08| L -93.289 | eL 394.910 | aL -148.009 | cL 10000000.000
Exp 2 | Agent 0 | Epi 11 | succ rate 0.24| avg reward -185.12| collision 0.93| extra 23.65| max reward -145.89| L -85.613 | eL 377.456 | aL -115.793 | cL 10000000.000
Exp 2 | Agent 0 | Epi 12 | succ rate 0.27| avg reward -155.31| collision 0.92| extra 21.90| max reward -232.42| L -75.077 | eL 333.524 | aL -94.272 | cL 10000000.000
Exp 2 | Agent 0 | Epi 13 | succ rate 0.33| avg reward -177.12| collision 0.90| extra 20.94| max reward -222.16| L -99.634 | eL 377.452 | aL -194.087 | cL 10000000.000
Exp 2 | Agent 0 | Epi 14 | succ rate 0.33| avg reward -175.37| collision 0.91| extra 23.86| max reward -218.70| L -105.273 | eL 395.000 | aL -202.227 | cL 10000000.000
Exp 2 | Agent 0 | Epi 15 | succ rate 0.24| avg reward -186.02| collision 0.93| extra 23.59| max reward -262.80| L -90.114 | eL 368.525 | aL -134.761 | cL 10000000.000
Exp 2 | Agent 0 | Epi 16 | succ rate 0.29| avg reward -172.91| collision 0.93| extra 21.90| max reward -154.36| L -104.215 | eL 359.915 | aL -223.968 | cL 10000000.000
Exp 2 | Agent 0 | Epi 17 | succ rate 0.30| avg reward -177.55| collision 0.93| extra 22.89| max reward -235.31| L -99.939 | eL 377.465 | aL -205.726 | cL 10000000.000
Exp 2 | Agent 0 | Epi 18 | succ rate 0.26| avg reward -156.32| collision 0.89| extra 20.09| max reward -204.21| L -98.816 | eL 315.973 | aL -162.630 | cL 10000000.000
