/media/ubuntu/D/GHF_pycode/Mapper_a_critic_c/0/train.py

Namespace(agent_type=0, agents=175, attend_heads=4, critic_hidden_dim=1400, critic_model_dir='critic_weights', entropy_weight=0.01, exp=2, gamma=0.99, goal_range=6, interval=100, load=False, lr=0.0003, map='60_65_hard', map_dir='map', model_dir='weights', name=None, num_updates=4, obs=30, pi_lr=0.001, pol_hidden_dim=128, q_lr=0.0001, render=False, reward_scale=20.0, seed=123, sub_num_agent=15, tau=0.001, train=True)

Device: cuda:0

Environments loaded

Exp 2 | Agent 0 | Epi 0 | succ rate 0.32| avg reward -173.64| collision 0.94| extra 22.13| max reward -264.81| L -44.424 | eL 245.798 | aL -63.035 | cL 10000000.000
Exp 2 | Agent 0 | Epi 1 | succ rate 0.27| avg reward -184.24| collision 0.91| extra 21.85| max reward -182.80| L 28.368 | eL 41.706 | aL 25.495 | cL 10000000.000
Exp 2 | Agent 0 | Epi 2 | succ rate 0.31| avg reward -174.29| collision 0.93| extra 24.06| max reward -223.42| L -92.692 | eL 368.748 | aL -135.302 | cL 10000000.000
Exp 2 | Agent 0 | Epi 3 | succ rate 0.26| avg reward -184.92| collision 0.93| extra 23.60| max reward -176.62| L -107.055 | eL 377.509 | aL -175.291 | cL 10000000.000
Exp 2 | Agent 0 | Epi 4 | succ rate 0.27| avg reward -150.49| collision 0.92| extra 19.43| max reward -289.48| L -77.242 | eL 307.304 | aL -99.827 | cL 10000000.000
Exp 2 | Agent 0 | Epi 5 | succ rate 0.27| avg reward -162.98| collision 0.95| extra 22.07| max reward -218.72| L -30.153 | eL 133.852 | aL -39.884 | cL 10000000.000
Exp 2 | Agent 0 | Epi 6 | succ rate 0.28| avg reward -181.61| collision 0.93| extra 23.89| max reward -128.92| L -86.096 | eL 386.251 | aL -125.132 | cL 10000000.000
Exp 2 | Agent 0 | Epi 7 | succ rate 0.33| avg reward -222.36| collision 0.98| extra 33.11| max reward -207.18| L -106.915 | eL 500.441 | aL -170.138 | cL 10000000.000
Exp 2 | Agent 0 | Epi 8 | succ rate 0.26| avg reward -175.93| collision 0.92| extra 26.00| max reward -179.70| L -97.635 | eL 377.449 | aL -141.439 | cL 10000000.000
Exp 2 | Agent 0 | Epi 9 | succ rate 0.25| avg reward -178.47| collision 0.90| extra 21.80| max reward 29.48| L -60.518 | eL 237.046 | aL -82.741 | cL 10000000.000
Exp 2 | Agent 0 | Epi 10 | succ rate 0.29| avg reward -186.91| collision 0.96| extra 23.75| max reward -96.46| L -46.474 | eL 256.794 | aL -65.481 | cL 10000000.000
Exp 2 | Agent 0 | Epi 11 | succ rate 0.32| avg reward -167.08| collision 0.89| extra 21.69| max reward 15.71| L -55.398 | eL 186.483 | aL -72.734 | cL 10000000.000
Exp 2 | Agent 0 | Epi 12 | succ rate 0.32| avg reward -160.54| collision 0.91| extra 20.51| max reward -239.80| L -37.447 | eL 199.723 | aL -46.068 | cL 10000000.000
Exp 2 | Agent 0 | Epi 13 | succ rate 0.35| avg reward -178.58| collision 0.95| extra 24.37| max reward -319.39| L 12.514 | eL 89.964 | aL 11.308 | cL 10000000.000
Exp 2 | Agent 0 | Epi 14 | succ rate 0.34| avg reward -178.52| collision 0.90| extra 23.05| max reward -167.42| L 1.098 | eL 92.167 | aL -0.957 | cL 10000000.000
Exp 2 | Agent 0 | Epi 15 | succ rate 0.28| avg reward -181.89| collision 0.93| extra 21.65| max reward -244.60| L -99.802 | eL 377.442 | aL -161.813 | cL 10000000.000
Exp 2 | Agent 0 | Epi 16 | succ rate 0.34| avg reward -174.55| collision 0.89| extra 24.02| max reward -367.93| L -0.345 | eL 116.301 | aL -3.116 | cL 10000000.000
Exp 2 | Agent 0 | Epi 17 | succ rate 0.29| avg reward -181.23| collision 0.93| extra 21.08| max reward 28.97| L -20.459 | eL 182.141 | aL -23.393 | cL 10000000.000
Exp 2 | Agent 0 | Epi 18 | succ rate 0.29| avg reward -172.18| collision 0.93| extra 20.67| max reward -220.91| L -91.254 | eL 368.636 | aL -131.777 | cL 10000000.000
Exp 2 | Agent 0 | Epi 19 | succ rate 0.29| avg reward -162.62| collision 0.93| extra 22.21| max reward -184.41| L -95.991 | eL 351.073 | aL -144.514 | cL 10000000.000
Exp 2 | Agent 0 | Epi 20 | succ rate 0.22| avg reward -171.83| collision 0.95| extra 23.03| max reward -202.46| L -90.142 | eL 342.310 | aL -129.923 | cL 10000000.000
Exp 2 | Agent 0 | Epi 21 | succ rate 0.30| avg reward -129.89| collision 0.93| extra 19.09| max reward -246.84| L -89.551 | eL 256.751 | aL -160.158 | cL 10000000.000
Exp 2 | Agent 0 | Epi 22 | succ rate 0.22| avg reward -181.56| collision 0.90| extra 24.31| max reward -258.29| L -99.188 | eL 359.876 | aL -154.621 | cL 10000000.000
