/media/ubuntu/D/GHF_pycode/Mapper_a_critic_c/0/train.py

Namespace(agent_type=0, agents=175, attend_heads=4, critic_hidden_dim=1400, critic_model_dir='critic_weights', entropy_weight=0.01, exp=1, gamma=0.99, goal_range=6, interval=100, load=False, lr=0.0003, map='60_65_hard', map_dir='map', model_dir='weights', name=None, num_updates=4, obs=30, pi_lr=0.001, pol_hidden_dim=128, q_lr=0.0001, render=False, reward_scale=20.0, seed=9527, sub_num_agent=15, tau=0.001, train=True)

Device: cuda:0

Environments loaded

Exp 1 | Agent 0 | Epi 31 | succ rate 0.30| avg reward -195.63| collision 0.93| extra 24.91| max reward -140.61| L -108.606 | eL 403.024 | aL -187.258 | cL 10000000.000
Exp 1 | Agent 0 | Epi 32 | succ rate 0.27| avg reward -171.80| collision 0.87| extra 27.13| max reward -281.86| L 4.197 | eL 78.880 | aL 0.734 | cL 10000000.000
Exp 1 | Agent 0 | Epi 33 | succ rate 0.33| avg reward -177.11| collision 0.93| extra 24.07| max reward -343.03| L -96.587 | eL 376.735 | aL -179.135 | cL 10000000.000
Exp 1 | Agent 0 | Epi 34 | succ rate 0.25| avg reward -175.54| collision 0.93| extra 21.40| max reward 17.60| L -90.849 | eL 359.556 | aL -135.249 | cL 10000000.000
Exp 1 | Agent 0 | Epi 35 | succ rate 0.27| avg reward -177.26| collision 0.92| extra 24.42| max reward -232.12| L -104.577 | eL 377.074 | aL -179.990 | cL 10000000.000
Exp 1 | Agent 0 | Epi 36 | succ rate 0.33| avg reward -164.85| collision 0.88| extra 21.75| max reward 29.99| L -105.860 | eL 350.046 | aL -188.241 | cL 10000000.000
Exp 1 | Agent 0 | Epi 37 | succ rate 0.29| avg reward -149.98| collision 0.89| extra 20.82| max reward -244.79| L 16.395 | eL 92.017 | aL 14.899 | cL 10000000.000
Exp 1 | Agent 0 | Epi 38 | succ rate 0.25| avg reward -146.75| collision 0.95| extra 19.92| max reward -149.92| L -96.100 | eL 306.242 | aL -227.066 | cL 10000000.000
Exp 1 | Agent 0 | Epi 39 | succ rate 0.29| avg reward -176.48| collision 0.90| extra 24.43| max reward -250.99| L -88.538 | eL 384.864 | aL -125.640 | cL 10000000.000
Exp 1 | Agent 0 | Epi 40 | succ rate 0.28| avg reward -170.48| collision 0.91| extra 21.26| max reward -214.15| L 61.884 | eL 21.830 | aL 55.622 | cL 10000000.000
Exp 1 | Agent 0 | Epi 41 | succ rate 0.32| avg reward -174.57| collision 0.93| extra 21.80| max reward -177.77| L -91.117 | eL 374.998 | aL -126.275 | cL 10000000.000
Exp 1 | Agent 0 | Epi 42 | succ rate 0.24| avg reward -149.86| collision 0.96| extra 20.37| max reward -228.03| L -94.813 | eL 296.293 | aL -166.927 | cL 10000000.000
Exp 1 | Agent 0 | Epi 43 | succ rate 0.27| avg reward -188.29| collision 0.93| extra 23.88| max reward -201.77| L -114.871 | eL 374.154 | aL -210.038 | cL 10000000.000
Exp 1 | Agent 0 | Epi 44 | succ rate 0.33| avg reward -164.67| collision 0.90| extra 21.50| max reward -199.47| L -103.129 | eL 356.407 | aL -197.842 | cL 10000000.000
Exp 1 | Agent 0 | Epi 45 | succ rate 0.29| avg reward -164.68| collision 0.95| extra 23.08| max reward -180.78| L -94.521 | eL 356.578 | aL -142.645 | cL 10000000.000
Exp 1 | Agent 0 | Epi 46 | succ rate 0.29| avg reward -179.91| collision 0.93| extra 24.14| max reward -1.74| L -95.523 | eL 382.478 | aL -178.165 | cL 10000000.000
Exp 1 | Agent 0 | Epi 47 | succ rate 0.24| avg reward -142.39| collision 0.90| extra 20.33| max reward -87.69| L -93.227 | eL 304.121 | aL -138.592 | cL 10000000.000
Exp 1 | Agent 0 | Epi 48 | succ rate 0.37| avg reward -147.87| collision 0.89| extra 20.26| max reward 27.69| L 64.116 | eL 15.235 | aL 57.036 | cL 10000000.000
Exp 1 | Agent 0 | Epi 49 | succ rate 0.32| avg reward -180.12| collision 0.89| extra 22.92| max reward -241.02| L -67.684 | eL 385.225 | aL -103.387 | cL 10000000.000
Exp 1 | Agent 0 | Epi 50 | succ rate 0.26| avg reward -175.40| collision 0.89| extra 21.08| max reward -272.54| L -8.940 | eL 124.278 | aL -12.442 | cL 10000000.000
Exp 1 | Agent 0 | Epi 51 | succ rate 0.27| avg reward -141.01| collision 0.91| extra 18.75| max reward -246.59| L -74.546 | eL 296.610 | aL -92.940 | cL 10000000.000
Exp 1 | Agent 0 | Epi 52 | succ rate 0.27| avg reward -88.75| collision 0.90| extra 14.30| max reward -105.85| L 43.973 | eL 48.069 | aL 40.599 | cL 10000000.000
Exp 1 | Agent 0 | Epi 53 | succ rate 0.35| avg reward -166.61| collision 0.88| extra 21.57| max reward -26.08| L -92.718 | eL 367.223 | aL -153.217 | cL 10000000.000
Exp 1 | Agent 0 | Epi 54 | succ rate 0.26| avg reward -158.81| collision 0.91| extra 20.03| max reward -285.58| L -8.038 | eL 65.568 | aL -11.375 | cL 10000000.000
Exp 1 | Agent 0 | Epi 55 | succ rate 0.26| avg reward -163.01| collision 0.95| extra 24.32| max reward -153.92| L -96.925 | eL 350.085 | aL -135.914 | cL 10000000.000
Exp 1 | Agent 0 | Epi 56 | succ rate 0.26| avg reward -116.21| collision 0.88| extra 16.52| max reward -180.64| L -101.047 | eL 245.191 | aL -196.900 | cL 10000000.000
Exp 1 | Agent 0 | Epi 57 | succ rate 0.27| avg reward -175.00| collision 0.93| extra 24.61| max reward 5.46| L -78.131 | eL 367.960 | aL -107.206 | cL 10000000.000
Exp 1 | Agent 0 | Epi 58 | succ rate 0.34| avg reward -165.86| collision 0.93| extra 20.67| max reward -175.60| L -105.582 | eL 368.160 | aL -217.172 | cL 10000000.000
Exp 1 | Agent 0 | Epi 59 | succ rate 0.33| avg reward -136.71| collision 0.89| extra 16.92| max reward -147.98| L -64.940 | eL 306.823 | aL -79.634 | cL 10000000.000
Exp 1 | Agent 0 | Epi 60 | succ rate 0.29| avg reward -140.49| collision 0.89| extra 19.64| max reward -75.98| L -79.815 | eL 306.772 | aL -111.501 | cL 10000000.000
Exp 1 | Agent 0 | Epi 61 | succ rate 0.27| avg reward -193.96| collision 0.94| extra 24.31| max reward -107.39| L 34.672 | eL 52.601 | aL 32.007 | cL 10000000.000
Exp 1 | Agent 0 | Epi 62 | succ rate 0.25| avg reward -165.98| collision 0.94| extra 23.19| max reward -117.91| L -103.052 | eL 333.122 | aL -181.481 | cL 10000000.000
