exp,type,update,success_rate,avg_reward,collision,extra,max_reward,loss,entropy,actor_loss,critic_loss
0,0,0,0.28,-171.88372188568115,0.9257142857142857,20.612999803272192,-119.11209869384766,-93.19842529296875,368.0311279296875,-135.01190185546875,10000000.0
0,0,1,0.28,-132.9857880619594,0.9085714285714286,17.26609743871867,-89.90058135986328,11.841636657714844,70.12037658691406,9.644601821899414,10000000.0
0,0,2,0.29714285714285715,-170.24292291913713,0.9371428571428572,23.564685252890424,-261.6146240234375,-99.85037231445312,359.35626220703125,-164.68421936035156,10000000.0
0,0,3,0.28,-171.54945243835448,0.92,24.171768201723086,-231.36732482910156,-96.62996673583984,368.1526184082031,-149.736083984375,10000000.0
0,0,4,0.25142857142857145,-195.5337363215855,0.9542857142857143,23.990637667631724,-276.6847229003906,-100.3359375,394.4857177734375,-144.8333282470703,10000000.0
0,0,5,0.26285714285714284,-149.21773680005754,0.8914285714285715,19.841244188617537,-184.38621520996094,-80.99954223632812,315.422607421875,-108.460205078125,10000000.0
0,0,6,0.2914285714285714,-167.5832488850185,0.9085714285714286,23.551477740650153,-31.42262077331543,-100.6063003540039,368.072265625,-159.75473022460938,10000000.0
0,0,7,0.29714285714285715,-137.36584502628872,0.9028571428571428,17.361924619748418,10.989997863769531,-99.3033218383789,297.8072814941406,-171.09715270996094,10000000.0
0,0,8,0.30857142857142855,-192.89900192260743,0.9428571428571428,26.647461025149926,-96.43262481689453,-102.61260986328125,411.7771911621094,-273.5970458984375,10000000.0
0,0,9,0.22285714285714286,-193.04792634146554,0.9657142857142857,25.877104247528052,-215.6100616455078,-93.50382995605469,376.95159912109375,-153.19940185546875,10000000.0
0,0,10,0.3485714285714286,-176.03208879743303,0.9028571428571428,23.342617119575106,-244.0,-91.04840850830078,394.3410949707031,-156.50526428222656,10000000.0
0,0,11,0.2857142857142857,-166.323789264134,0.9314285714285714,22.144052411016098,-301.4446105957031,-98.98961639404297,359.2524108886719,-149.08526611328125,10000000.0
0,0,12,0.2857142857142857,-182.50622154780797,0.9485714285714286,26.21956299999989,17.222890853881836,-99.8197021484375,376.54925537109375,-155.8294677734375,10000000.0
0,0,13,0.24,-187.86682877676827,0.9257142857142857,24.030904822621196,-202.3931884765625,64.2208480834961,24.098922729492188,57.42594909667969,10000000.0
0,0,14,0.26285714285714284,-157.23025684901646,0.9142857142857143,21.735761212332644,-211.60617065429688,-83.66612243652344,332.83892822265625,-119.71707916259766,10000000.0
0,0,15,0.26285714285714284,-145.29780977521625,0.9314285714285714,19.09719361918521,-8.525529861450195,-79.95967102050781,315.0972900390625,-102.48722076416016,10000000.0
0,0,16,0.24,-113.38224547794887,0.9142857142857143,15.317870519573308,-143.38238525390625,40.65702819824219,59.04166030883789,37.69893264770508,10000000.0
0,0,17,0.28,-175.57181666782924,0.9371428571428572,23.616616437777452,-371.0809631347656,-92.51521301269531,367.7634582519531,-125.5455093383789,10000000.0
0,0,18,0.2857142857142857,-182.08969619750977,0.9542857142857143,24.46733058917746,-200.2330780029297,-82.03179931640625,376.5155029296875,-103.60144805908203,10000000.0
0,0,19,0.2857142857142857,-164.52506144932337,0.9028571428571428,23.686231147040935,-232.26060485839844,-85.0018539428711,350.3476867675781,-122.58992004394531,10000000.0
0,0,20,0.3657142857142857,-138.34944039481027,0.84,18.612075195433178,-1.7113227844238281,-60.813934326171875,332.7320556640625,-337.72991943359375,10000000.0
0,0,21,0.2342857142857143,-176.6790001787458,0.9428571428571428,24.8491865100708,-141.89901733398438,-89.89659881591797,359.0270690917969,-133.63156127929688,10000000.0
0,0,22,0.37714285714285717,-151.90255786895753,0.8742857142857143,21.745918110865787,-276.3236389160156,-91.51908874511719,385.2474365234375,-140.5958709716797,10000000.0
0,0,23,0.3485714285714286,-159.32210603986468,0.9257142857142857,20.800666212860722,-230.27565002441406,59.97688293457031,21.882722854614258,53.948246002197266,10000000.0
0,0,24,0.33714285714285713,-173.69314483642577,0.9142857142857143,22.71866702787617,-183.139892578125,-102.88731384277344,393.6872253417969,-164.66758728027344,10000000.0
0,0,25,0.24,-188.30540583474294,0.9428571428571428,23.647592824635847,-7.270002365112305,-98.91655731201172,385.2245788574219,-143.77359008789062,10000000.0
0,0,26,0.2742857142857143,-191.19435734340124,0.9142857142857143,25.021621976222306,24.842891693115234,-107.81766510009766,393.64569091796875,-189.3740997314453,10000000.0
0,0,27,0.21714285714285714,-123.47132271902902,0.9257142857142857,16.535074046205406,-81.8926773071289,-98.2815933227539,245.2128448486328,-184.98745727539062,10000000.0
0,0,28,0.30857142857142855,-154.3717528969901,0.9371428571428572,19.759373679808625,-174.51475524902344,20.092117309570312,52.45127868652344,17.57740592956543,10000000.0
0,0,29,0.25142857142857145,-162.52361991882324,0.9257142857142857,22.8315562426991,-175.08761596679688,-100.31449890136719,332.63006591796875,-222.142822265625,10000000.0
0,0,30,0.2914285714285714,-169.28223856244767,0.8971428571428571,23.11954041215441,-232.40875244140625,31.614736557006836,21.8706111907959,28.99647331237793,10000000.0
0,0,31,0.26285714285714284,-153.64952701023645,0.9085714285714286,19.223322061300646,-201.78622436523438,21.7656192779541,74.3799057006836,19.733182907104492,10000000.0
0,0,32,0.25142857142857145,-188.88016810825894,0.9257142857142857,23.904216634811362,-271.7606201171875,-83.89946746826172,376.33367919921875,-107.09846496582031,10000000.0
0,0,33,0.29714285714285715,-179.56450710841588,0.9142857142857143,24.39048025832976,-242.12579345703125,-90.47288513183594,393.15869140625,-190.89462280273438,10000000.0
0,0,34,0.3485714285714286,-169.53530881609237,0.8914285714285715,21.34078460801989,-222.94424438476562,-96.31719970703125,384.7118225097656,-241.7047882080078,10000000.0
0,0,35,0.2914285714285714,-182.2164784513201,0.9542857142857143,22.73084348524511,11.655786514282227,-95.73902893066406,384.42413330078125,-151.88613891601562,10000000.0
0,0,36,0.25142857142857145,-161.5473933301653,0.9657142857142857,20.732166893343354,-192.06939697265625,-97.22706604003906,313.879150390625,-139.41770935058594,10000000.0
0,0,37,0.26857142857142857,-169.586901310512,0.9314285714285714,22.58147037876242,-172.27432250976562,-89.23292541503906,349.4222412109375,-130.17727661132812,10000000.0
0,0,38,0.29714285714285715,-181.92089002881733,0.9257142857142857,27.0003425162974,-77.38395690917969,-107.73970031738281,400.9056701660156,-165.1245574951172,10000000.0
0,0,39,0.2571428571428571,-169.7615164402553,0.9257142857142857,23.029549433219497,24.119998931884766,-81.03732299804688,355.8531799316406,-106.83483123779297,10000000.0
0,0,40,0.30857142857142855,-157.96215547834123,0.9371428571428572,21.45429248976852,-167.81153869628906,-5.054502010345459,149.60842895507812,-9.99427318572998,10000000.0
0,0,41,0.18285714285714286,-192.3762047086443,0.9485714285714286,24.35575773613662,-206.5703887939453,-74.06702423095703,371.4295654296875,-95.57804870605469,10000000.0
0,0,42,0.33714285714285713,-165.05663991655624,0.8914285714285715,22.142563347291624,3.038677215576172,-80.9189453125,378.7959899902344,-218.71641540527344,10000000.0
0,0,43,0.2857142857142857,-152.86103772844587,0.9142857142857143,21.487468215798156,-183.83216857910156,-84.05266571044922,297.9854431152344,-150.0845489501953,10000000.0
0,0,44,0.3028571428571429,-175.74032339913504,0.9257142857142857,23.93844283755866,-78.4742202758789,-94.7870101928711,370.7324523925781,-139.37232971191406,10000000.0
0,0,45,0.3028571428571429,-180.2119404057094,0.9085714285714286,21.18127463585051,-249.6829376220703,-61.566349029541016,357.5423889160156,-72.87569427490234,10000000.0
0,0,46,0.28,-150.0519160897391,0.9314285714285714,18.108932975882283,29.979999542236328,-83.9035873413086,288.5031433105469,-142.21754455566406,10000000.0
