/media/ubuntu/D/GHF_pycode/Mapper_a_critic_c/0/train.py

Namespace(agent_type=0, agents=175, attend_heads=20, critic_hidden_dim=1400, critic_model_dir='critic_weights', entropy_weight=0.01, exp=0, gamma=0.99, goal_range=6, interval=100, load=False, lr=0.0003, map='60_65_hard', map_dir='map', model_dir='weights', name=None, num_updates=4, obs=30, pi_lr=0.001, pol_hidden_dim=128, q_lr=0.0001, render=False, reward_scale=20.0, seed=997, sub_num_agent=15, tau=0.001, train=True)

Device: cuda:0

Environments loaded

Exp 0 | Agent 0 | Epi 0 | succ rate 0.28| avg reward -171.88| collision 0.93| extra 20.61| max reward -119.11| L -93.198 | eL 368.031 | aL -135.012 | cL 10000000.000
Exp 0 | Agent 0 | Epi 1 | succ rate 0.28| avg reward -132.99| collision 0.91| extra 17.27| max reward -89.90| L 11.842 | eL 70.120 | aL 9.645 | cL 10000000.000
Exp 0 | Agent 0 | Epi 2 | succ rate 0.30| avg reward -170.24| collision 0.94| extra 23.56| max reward -261.61| L -99.850 | eL 359.356 | aL -164.684 | cL 10000000.000
Exp 0 | Agent 0 | Epi 3 | succ rate 0.28| avg reward -171.55| collision 0.92| extra 24.17| max reward -231.37| L -96.630 | eL 368.153 | aL -149.736 | cL 10000000.000
Exp 0 | Agent 0 | Epi 4 | succ rate 0.25| avg reward -195.53| collision 0.95| extra 23.99| max reward -276.68| L -100.336 | eL 394.486 | aL -144.833 | cL 10000000.000
Exp 0 | Agent 0 | Epi 5 | succ rate 0.26| avg reward -149.22| collision 0.89| extra 19.84| max reward -184.39| L -81.000 | eL 315.423 | aL -108.460 | cL 10000000.000
Exp 0 | Agent 0 | Epi 6 | succ rate 0.29| avg reward -167.58| collision 0.91| extra 23.55| max reward -31.42| L -100.606 | eL 368.072 | aL -159.755 | cL 10000000.000
Exp 0 | Agent 0 | Epi 7 | succ rate 0.30| avg reward -137.37| collision 0.90| extra 17.36| max reward 10.99| L -99.303 | eL 297.807 | aL -171.097 | cL 10000000.000
Exp 0 | Agent 0 | Epi 8 | succ rate 0.31| avg reward -192.90| collision 0.94| extra 26.65| max reward -96.43| L -102.613 | eL 411.777 | aL -273.597 | cL 10000000.000
Exp 0 | Agent 0 | Epi 9 | succ rate 0.22| avg reward -193.05| collision 0.97| extra 25.88| max reward -215.61| L -93.504 | eL 376.952 | aL -153.199 | cL 10000000.000
Exp 0 | Agent 0 | Epi 10 | succ rate 0.35| avg reward -176.03| collision 0.90| extra 23.34| max reward -244.00| L -91.048 | eL 394.341 | aL -156.505 | cL 10000000.000
