/media/ubuntu/D/GHF_pycode/Mapper_a_critic_c/0/train.py

Namespace(agent_type=0, agents=175, attend_heads=20, critic_hidden_dim=1400, critic_model_dir='critic_weights', entropy_weight=0.01, exp=0, gamma=0.99, goal_range=6, interval=100, load=False, lr=0.0003, map='60_65_hard', map_dir='map', model_dir='weights', name=None, num_updates=4, obs=30, pi_lr=0.001, pol_hidden_dim=128, q_lr=0.001, render=False, reward_scale=20.0, seed=997, sub_num_agent=15, tau=0.001, train=True)

Device: cuda:0

Environments loaded

Exp 0 | Agent 0 | Epi 0 | succ rate 0.28| avg reward -171.88| collision 0.93| extra 20.61| max reward -119.11| L -93.198 | eL 368.031 | aL -135.012 | cL 10000000.000
Exp 0 | Agent 0 | Epi 1 | succ rate 0.28| avg reward -132.99| collision 0.91| extra 17.27| max reward -89.90| L 11.842 | eL 70.120 | aL 9.645 | cL 10000000.000
Exp 0 | Agent 0 | Epi 2 | succ rate 0.30| avg reward -170.24| collision 0.94| extra 23.56| max reward -261.61| L -99.850 | eL 359.356 | aL -164.684 | cL 10000000.000
Exp 0 | Agent 0 | Epi 3 | succ rate 0.28| avg reward -171.30| collision 0.91| extra 24.18| max reward -231.37| L -96.626 | eL 368.153 | aL -149.732 | cL 10000000.000
Exp 0 | Agent 0 | Epi 4 | succ rate 0.32| avg reward -165.90| collision 0.90| extra 20.39| max reward -64.16| L -78.505 | eL 376.927 | aL -111.201 | cL 10000000.000
Exp 0 | Agent 0 | Epi 5 | succ rate 0.27| avg reward -186.11| collision 0.91| extra 25.02| max reward -166.77| L -23.257 | eL 190.450 | aL -29.897 | cL 10000000.000
Exp 0 | Agent 0 | Epi 6 | succ rate 0.34| avg reward -158.64| collision 0.91| extra 23.90| max reward -319.84| L -88.277 | eL 376.670 | aL -118.881 | cL 10000000.000
Exp 0 | Agent 0 | Epi 7 | succ rate 0.30| avg reward -142.30| collision 0.92| extra 19.11| max reward -234.07| L -53.039 | eL 144.489 | aL -77.812 | cL 10000000.000
Exp 0 | Agent 0 | Epi 8 | succ rate 0.30| avg reward -186.40| collision 0.94| extra 23.68| max reward -201.81| L -28.716 | eL 376.896 | aL -329.101 | cL 10000000.000
Exp 0 | Agent 0 | Epi 9 | succ rate 0.23| avg reward -182.46| collision 0.93| extra 23.59| max reward -22.53| L -98.073 | eL 359.037 | aL -146.897 | cL 10000000.000
Exp 0 | Agent 0 | Epi 10 | succ rate 0.27| avg reward -162.84| collision 0.94| extra 20.97| max reward -303.96| L -89.427 | eL 332.947 | aL -138.883 | cL 10000000.000
